gene_id,9JD4 B Memory,9JD4 B Naive,9JD4 Basophils LD,9JD4 CD4+ effector,9JD4 CD8 activated,9JD4 MAIT,9JD4 mDCs,9JD4 Monocytes C,9JD4 Monocytes NC+I,9JD4 Naive T cells,9JD4 Neutrophils LD,9JD4 NK,9JD4 pDCs,9JD4 Plasmablasts,9JD4 VD2-,9JD4 VD2+,925L B Memory,925L B Naive,925L Basophils LD,925L CD4+ effector,925L CD8 activated,925L MAIT,925L mDCs,925L Monocytes C,925L Monocytes NC+I,925L Naive T cells,925L Neutrophils LD,925L NK,925L pDCs,925L Plasmablasts,925L VD2-,925L VD2+,DZQV B Memory,DZQV B Naive,DZQV Basophils LD,DZQV CD4+ effector,DZQV CD8 activated,DZQV MAIT,DZQV mDCs,DZQV Monocytes C,DZQV Monocytes NC+I,DZQV Naive T cells,DZQV Neutrophils LD,DZQV NK,DZQV pDCs,DZQV Plasmablasts,DZQV VD2-,DZQV VD2+,G4YW B Memory,G4YW B Naive,G4YW Basophils LD,G4YW CD4+ effector,G4YW CD8 activated,G4YW MAIT,G4YW mDCs,G4YW Monocytes C,G4YW Monocytes NC+I,G4YW Naive T cells,G4YW Neutrophils LD,G4YW NK,G4YW pDCs,G4YW Plasmablasts,G4YW VD2-,G4YW VD2+
RP11-588H23.3,1.1290679147109435,0.17889260766997275,0.07030628747460546,0.03981880219577255,0.02632611725649301,0.015905328611930888,0.025801499242195873,0.02655049171269005,0.03535084577097835,0.04456613302728879,0.036558580758086344,0.03862907143801564,0.04373857754420291,0.2938891490259728,0.02773424418042509,0.025112770533695483,1.3281182059016419,0.10676054052910282,0.03312785087886877,0.03829711742841421,0.0329561836469808,0.0623428617825697,0.022865793122212957,0.01469144426319895,0.027447764753645958,0.04140569534096893,0.033037455235878095,0.06301867682778571,0.01803608305385397,0.28714821679152525,0.037260223129871116,0.036184084522839256,0.6458932334055412,0.04359936652787095,0.06267000791910739,0.034469880233154594,0.025633337131496747,0.04062638469266677,0.016985771773390876,0.02354160816742897,0.02564875698815572,0.0448502453236287,0.019620159083404868,0.031388810889905285,0.02396775905581358,0.30063008126042035,0.02168634520890604,0.025401175680380018,0.8969206459818732,0.12932302439816107,0.06749110887861012,0.050361973881249474,0.025019551232136585,0.03712678194259917,0.01956850443026734,0.03226693999324329,0.03930511304054031,0.03575989789734039,0.04187470547682373,0.029920957829913834,0.018350315527107273,0.2214564116638724,0.03370035661780973,0.041629345874420465
RP11-588L15.1,0.0917683308359651,0.022405235066296235,0.0,0.0,0.0,0.0,0.17347241239785915,0.45301189286008237,0.12742077783897932,0.0,1.2164226566956118,0.0,0.21277876678701693,0.02264034962004203,0.0,0.0,0.02441249983740343,0.0,0.07553229513263564,0.0,0.0,0.0,0.0,0.27645676456419227,0.056467343413745257,0.0,0.6496495684140187,0.0,0.081805932789196,0.0,0.0,0.0,0.0017726664145700343,0.0,0.0,0.0040961843965998035,0.0,0.0,0.09699158929659861,0.20069424419645351,0.13770480553737738,0.0,0.9044743698879205,0.0,0.09718037398938316,0.018595292239279995,0.0,0.0,0.024749245820116967,0.13995063215129944,0.0,0.0,0.0,0.0,0.17914055768609827,0.2781143862569348,0.1999086779972016,0.0,1.229453405002449,0.04753690654409475,0.024318691583943862,0.05381745095770821,0.0,0.0
RP11-588L15.2,0.06804068415591559,0.06938026277002701,0.013501350135013501,0.0024102820657065705,0.0,0.0,0.06198119811981198,0.23626112611261124,0.05077196270252025,0.0,0.713046304630463,0.0,0.07458870887088709,0.16852310231023102,0.0,0.0,0.1043560454170417,0.0,0.015164016401640164,0.0,0.0,0.0,0.04264801480148015,0.26233873387338735,0.11414825693194319,0.0,0.8694119411941195,0.0,0.10766701670167016,0.03440969096909691,0.0,0.0,0.012325612586258625,0.021179721840934092,0.0,0.0,0.0,0.0,0.024283678367836785,0.2461183618361836,0.43364699373062304,0.0,1.8092684268426842,0.0,0.08690869086908691,0.004012901290129012,0.0,0.0,0.15375009390939096,0.05990934952245224,0.08015801580158016,0.0011403422279727972,0.0,0.0,0.10231023102310231,0.4274364936493649,0.21226457441369137,0.0,0.6082733273327333,0.0,0.08775252525252525,0.021958445844584458,0.0,0.0
RP11-597D13.9,0.013203074969763542,0.016946120779308085,0.0016825100978359886,0.0035191678630703215,0.002058499800479466,0.0010361499136233362,0.197048576311516,0.8178084565868605,0.5626642627577499,0.0032107828346964666,0.005407715739672268,0.00114963299940113,0.02089568992473728,0.004208742268193837,0.0012532479907634635,0.002099437086889188,0.045106967444539764,0.0029118621624572047,0.009004636154107563,0.0008575095668091578,0.004220637177922359,0.0,0.20304591069251202,1.002998050434597,0.34666771493788956,0.0066257847830283574,0.0,0.007605833770716061,0.005350974196783371,0.0,0.0,0.006458667794918794,0.025763683071345703,0.08167687015623043,0.004877305664841274,0.0018604079519571825,0.0008864689330801344,0.001694845215855314,0.32163326830670286,0.714102185351184,0.21494575820825013,0.002940750739952892,0.0039151664593338915,0.0,0.0,0.006431530535276279,0.0017861250891983223,0.0,0.0642297858019091,0.08093327104263201,0.0017318505699132902,0.0029381916396270602,0.0005632299876587144,0.005864115106387309,0.4820958845728996,1.4650913076273586,0.391718509054285,0.0031656062321950285,0.005402781692464538,0.0047292842486093695,0.021517379872911278,0.002624913114512451,0.0011891053770629713,0.0
RP11-603B24.1,0.003529209827921179,0.0,0.0030941710120290645,0.3065117058371384,0.01240827833566175,0.34849974426072045,0.0,0.0,1.1699841005722271,0.0,0.0,0.09935608813766476,0.0,0.0010423738826737098,0.020076149324928762,0.3501710146905546,0.02691708641199041,0.0016165484211007424,0.0,0.22569343995333002,0.03461571106457826,0.4757965544880007,0.027025190440115532,0.0,1.2918187751053907,0.02417562222757073,0.0,0.17575692084210484,0.0018555105450585381,0.0,0.026616673415396704,0.15183015310898512,0.0,0.0032132410086235727,0.0,0.20084251083811785,0.07934790126037997,0.1909677138934526,0.0,0.0,0.9428390690463465,0.0,0.0,0.08854261060564518,0.0131579329982507,0.0,0.03529828022952108,0.08657726460727976,0.007873228727402655,0.011493607003528918,0.021555384865432754,0.07639568532261012,0.004229151268625758,0.04020792499233875,0.0,0.009224406538208713,0.595358055276036,0.0009834070327059317,0.0015624979002688852,0.058786060457327184,0.0,0.0,0.0,0.061441598271956506
RP11-603B24.6,0.0,0.08660397190608315,0.0,0.04459756919173683,0.0,0.0,0.0,0.0,0.47243488936944433,0.0,0.0,0.0,0.14174284747454757,0.0,0.0,0.0,0.0,0.0,0.0,0.013911280307197287,0.0,0.0,0.0,0.0,2.0480253022610624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11516155513345491,0.0,0.0,0.0,0.0,1.1805181767655255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2990216316039679,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RP11-605P22.1,0.0,0.03940208208731668,0.014789392794811014,0.0,0.11127814853213161,0.0,0.009696788142436637,0.21720414702128216,0.0,0.005406712105030087,0.18537862408502437,1.0038943447341686,0.0,0.0,0.17657401859907787,0.0,0.0,0.01224512271093282,0.0,0.0,0.19093944856599548,0.0,0.0,0.11285133762275654,0.0,0.0,0.07808226314829769,1.8454765688087735,0.0,0.0,0.09106775378363595,0.0,0.0,0.0,0.03708744692490037,0.0,0.13288270765714136,0.0,0.0,0.10106410690562402,0.01005811476594858,0.0,0.3508492015942067,0.3761103441089896,0.0,0.0,0.04705123863606763,0.0,0.0,0.006514650264398656,0.01756362499674386,0.0,0.24138088238167185,0.0,0.04483706270025268,0.1672223814113418,0.00629473004636745,0.0,0.3460040636640705,0.7745187423480685,0.0,0.0,0.17867748573810208,0.0947406809242231
RP11-610P16.1,0.0,0.005906139143147432,0.010586866908847421,0.004334161181181511,0.0,0.0,0.12180143323483303,0.0,0.022882172395450363,0.0,0.0,0.0,1.2036706258794105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01935210473069177,0.0,0.0,0.0,0.0,0.0,0.39291479313719624,0.0,0.0,0.0,0.0,0.0,0.052345874791666046,0.0,0.0,0.0,0.07302742260307443,0.0,0.0,0.03636947413062238,0.0,0.0,1.103762275240691,0.0,0.0,0.0,0.0,0.005909413883810027,0.03756190523580442,0.0029736830176086307,0.0,0.0,0.015945744876194937,0.0,0.047617729347996865,0.016771076388620333,0.0,0.0,1.2996523057427019,0.0,0.00976367229173974,0.0
RP11-619I22.1,0.0,0.06141575905070426,0.04115337827902272,0.04383721960974783,0.10781020733538603,0.0,0.026056617309586087,0.2452929564787295,0.1795670246280395,0.12084439286156698,1.1694036601179043,0.03774903194471056,0.0,0.04000552537886721,0.0,0.13108337529353575,0.10600417116554302,0.016737357102562616,0.0,0.019326498499681398,0.03562760477143201,0.09837135001938338,0.0,0.02762511195576132,0.16275177000877822,0.03404312206185751,1.0869614426585983,0.0326175591193259,0.024892722986912873,0.014410544561734968,0.11912182123616984,0.0,0.006411064175493163,0.021209124136548154,0.0,0.10060018056225185,0.009416083631065105,0.0,0.0,0.0,0.2248320645578137,0.0,0.5436455915051756,0.0,0.0,0.01110244676252902,0.04312469086842023,0.0,0.11942466384931756,0.008890613657488894,0.0,0.04453239363512002,0.0811065564359524,0.03428586706116683,0.0,0.2431737063261132,0.1703643526653269,0.0,1.1999893057183215,0.056988044684273605,0.029172218038579622,0.0,0.037879145705131914,0.036920225114629335
RP11-676B18.1,0.012248785134702444,0.007071929734499913,0.004019336549149666,0.005127905024951646,0.003329351278039689,0.0,0.005331347961566396,0.0028739297605318856,0.0019874426554694477,0.003192807386832508,0.9553109128631787,0.003706952879526635,0.009579765868439618,0.001416139302291074,0.0040297493381371,0.0033945692099036037,0.016138298352436464,0.005694014489395876,0.022710292781594355,0.0030418802373074613,0.003986200899144329,0.013078462968217564,0.002582371668883723,0.0,0.023943934253650333,0.0022890655927610293,1.4149938955024564,0.0,0.0,0.0,0.002540720512933986,0.002811453026607279,0.0035089982220162805,0.00432202946298644,0.0,0.003955842121293373,0.001888065579745043,0.008111562621211372,0.0,0.0,0.0,0.001962758118721414,0.5633110586422244,0.003956859815225059,0.005789510677013508,0.0,0.008548899758683616,0.009194492675904546,0.0036596220157597563,0.0022971243625420743,0.004789882934219809,0.005793231114454774,0.0006818190101082149,0.0,0.0,0.0,0.0,0.004019637437100247,1.0663841329921409,0.008653027648557958,0.0,0.0,0.0,0.0
RP11-692N5.2,0.006153368246366125,0.03183201294992507,0.2812791585376198,0.005489399379256195,0.0,0.0,0.15431160295016433,0.16092359022208882,0.017377119909694174,0.0,0.21475038660550577,0.0,0.0,0.0,0.0,0.0,0.028921900459141614,0.024941717259244274,0.31153335029830065,0.0,0.0,0.0,0.2450219783326917,0.0,0.10499597683194459,0.0,0.0,0.0,0.024081553643009235,0.0,0.0,0.0,0.0,0.0,2.551500638361271,0.0,0.0,0.0,0.04624911097046138,0.14846086421283639,0.07116102188698287,0.0,0.08902692862316242,0.0,0.0,0.04459176416085399,0.0,0.0,0.0,0.0,0.8556868528028083,0.0,0.0,0.0,0.15138405858568724,0.0,0.0488738475849934,0.0,0.13829493378225247,0.0,0.0,0.0,0.0,0.0
RP11-693J15.5,0.5132507301581466,1.0415858174322032,0.02449498471076138,0.014730765015858415,0.0038885847281675753,0.014517006224398674,0.013525120278749714,0.015975275627935555,0.012508670402463598,0.010469140253627668,0.02692543371665618,0.013301781721451274,0.13548767890698962,0.03877551481566759,0.0169605927924875,0.011935475253272574,0.45640083414349253,1.2362319422489703,0.01068740684484011,0.013785050408506154,0.016493482952217087,0.008841579356579463,0.012704022641623092,0.0050776677879910284,0.015291603808284938,0.02446126209942897,0.02043547799280736,0.016927748887002433,0.06778325214007688,0.02047489067938944,0.01862249441003178,0.0107333883125192,0.32154835064717574,0.5617972129943078,0.021282850754322038,0.013979082119032935,0.008905091357342923,0.008795597888900372,0.014543281348786727,0.007869399754221544,0.012439894075428495,0.015311076486894793,0.02309583433709762,0.00967581455590011,0.038952871905286936,0.012316464556899326,0.013242662691578156,0.0036916549765212917,0.42333663245180064,1.1603850273245184,0.02292504602857528,0.014533238444468,0.010632661834923871,0.012960205104406599,0.009728364804676216,0.016973730354681527,0.011406976481701945,0.007109602330437645,0.020862448764113205,0.014517006224398674,0.1134625558887051,0.046572657977821987,0.011521642044160757,0.015850468787092307
RP11-701P16.2,0.004532732371334431,0.012444557700108333,0.06402262216335039,0.009717852966540243,0.001975985760216688,0.0047666675925762975,0.02086222825170804,0.2352918725136941,0.07344117757808757,0.002101416167611978,0.5984610533784075,0.0,0.0022883397090339586,0.0,0.0,0.0,0.013503026598980554,0.07023545586369027,0.06841694686034999,0.0015974867338000623,0.015537506847101716,0.0,0.08011733466098879,0.35508026470272047,0.31812414979125686,0.0,1.3144552375350478,0.011661372371945108,0.02307592974932799,0.0,0.012374676187844871,0.031800967031326635,0.05015576841120056,0.06864547559065437,0.05087611901656523,0.0005058857598562197,0.010710676095395267,0.008735215219918734,0.12944386262922006,0.5902669651912402,0.1833579729958103,0.007249106826152127,1.4076597040382879,0.005673352228957803,0.008294171243381426,0.0067988625306212806,0.0061610450876288655,0.006592759287739423,0.01800163114262408,0.013710540820422373,0.013806372788604441,0.004037425047862813,0.004957161902366858,0.002425741870955197,0.048447832661130015,0.20772916846459236,0.07706662672985187,0.0016823087015220045,0.6794240050482573,0.01231276039883098,0.010479883411721127,0.0,0.010801336617697357,0.0053145799172745695
RP11-704M14.1,0.00011316047692265245,0.003136002480178388,1.0661305655398678,2.9928824298123064e-05,0.0,0.0,0.0,0.0006034900083023772,0.0,0.0,0.004510623781920884,0.0019609662863291706,0.0,0.0,0.0,0.0,0.0034063438593762933,0.0011701766083660873,1.1794467255775922,1.4744276250937466e-05,0.0,0.0,9.054858395559357e-05,0.00024982379396058503,0.0,0.0,0.0,0.004361130828908325,0.004182291104918469,5.1921210190603515e-05,0.0,0.0,0.00016490234448092585,0.0006856743348692312,0.7923954239103445,0.0,0.0,0.0,0.0,0.0,0.0006044164502446819,0.00013778638385074786,0.0006932861109508605,0.0,0.007739521070730735,0.0,0.0,0.0,0.0008460026123642712,0.0,0.9620272849721958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RP11-704M14.2,0.0,0.004381309952971566,1.1672120865688307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006993349324792121,0.0,0.0,0.0,0.0,0.00012125441841650696,0.0009930825896151704,0.8416503273807661,0.0006351638957667047,0.0,0.0,0.0,0.0013265279456079373,0.0,0.0,0.0,0.0,0.0075631232592541335,0.0,0.0,0.0,0.0,0.0,1.1188681668995941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011315975349547841,0.0,0.0,0.0,0.0,0.0,0.00041736787851595234,0.0,0.8722694191508086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RP11-736I10.2,0.0,0.0,1.1231678397015918,0.0,0.0011716982291116763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04215313277276993,0.0,0.0,0.0,0.0,0.0,1.1001848502249811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010908976571847492,0.0,0.010922215621085172,0.0,0.0,0.007970708054141091,1.2053029011721523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5713444089012747,0.0,0.0,0.014874071818532352,0.0,0.0,0.0,0.0,0.0,0.0,0.012861736334405145,0.0,0.0,0.0
RP11-750H9.5,0.013849435456864099,0.028278893842653204,0.031674000447018055,0.000460929780593281,0.0,0.0,0.40840134014944146,0.5951737324662336,1.126474046975973,0.0,0.4561974740060575,0.001291145561555553,0.003332855411314503,0.002420741690554421,0.0,0.0010436655797665892,0.015899595838387216,0.013265210917799784,0.056126397536555385,0.000231727404736616,0.001104378656919872,0.0005696414227288898,0.29511862838444125,0.5404969051765457,1.0664991193026052,0.0,0.5120273330290803,0.010822874557124426,0.00776937154949595,0.002049209243146495,0.0076587554970296715,0.0,0.020970718260656655,0.05535618315343785,0.03294764742400268,0.0008621849484712567,0.0,0.0042368447892380786,0.3192335527715391,0.48149542770004045,0.7700372947231405,0.0006117176039496966,0.2607051620278981,0.0019232819291806458,0.003523464993247922,0.0031341214865445773,0.0013427038910949203,0.0,0.02376311821500444,0.03607605851307604,0.03928400988702869,0.00018627041667070016,0.0,0.0,0.3819222319969202,0.49387286401145786,1.0369895389982808,0.0002310591662892233,0.5085779245455345,0.0042774665034206105,0.0005083963767306109,0.005417374298327352,0.0,0.0
RP11-770G2.2,0.08134213523676383,0.03951655968203594,0.08858298851513033,0.022429423659545807,0.12079185294162666,0.023969754639101615,0.11432828053490614,0.3603575564932116,0.13095025507023064,0.12524854754919718,1.1592473354183992,0.0,0.06924595784629356,0.0,0.029051465073445,0.0,0.1722314447312969,0.0,0.0,0.04889069878620591,0.009582340943994041,0.0,0.0,0.08063898937228631,0.028250835201559205,0.0,1.245860906034276,0.0,0.0,0.010581794619305397,0.0,0.12010387914100726,0.023693665714271134,0.0,0.3175864936708214,0.042210951381908904,0.0,0.0,0.0,0.0,0.07518943262396872,0.0,1.2129675454216136,0.0,0.0,0.0,0.062398914269095954,0.0,0.04301489040138369,0.0,0.06989392694786144,0.0043298843859855,0.0,0.0,0.0,0.022076868523497804,0.08601933786741632,0.0,0.38192421312571107,0.020714602774532263,0.0,0.07103169946478773,0.02734225523860059,0.0
