,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,theme_17,theme_18,theme_19,theme_20,nmf_cluster,nmf_cluster_loading
2053,0.0,0.006737966473312071,0.0,0.02583101045815774,0.024821321257426796,0.0,0.0012257045780662988,0.0018699928011092141,0.0,0.0,0.004862684164132172,0.0,0.013736926988617776,0.005421438543880758,0.0,0.019616190047511518,0.002322178860435529,0.016827488970233083,0.008896047774633885,0.0,4.0,0.02583101045815774
2054,0.0006799864917402708,0.008049049248536326,0.0,0.002211550512380535,0.0027876641930801877,0.005143758863654724,0.03251453947402205,0.00040539966066466916,0.0,0.0,0.004425495255419997,0.0,0.006131541158679993,0.005599634458101391,0.0,0.0,0.0,0.0111868133612904,1.8955370647043525e-05,0.03813799791285151,20.0,0.03813799791285151
2055,0.0,0.01449192058308986,0.0025288587466282134,0.017781261577599874,0.03247699658519806,0.0,0.0,0.0032325991663723274,0.0,0.0,0.0020826794191578495,0.0,0.01660468261015636,0.0,0.001630758183946465,0.0,0.0015527173559337353,0.00047432199349625747,0.0002792399288187534,0.0033345867495098093,5.0,0.03247699658519806
2056,2.4888508115051915e-05,0.0,0.0030120512621237914,0.0,2.0050039270781244e-05,0.0,0.0357949740558176,0.000696155371515838,0.0,0.0,0.008400252681906435,3.705262209154526e-06,0.0,0.0,0.0,0.0,0.003343808889015054,0.0,0.010967276831685725,0.008941379483275108,7.0,0.0357949740558176
2057,0.022002062825827565,0.00919460638185755,0.0023421249498011033,0.0029459111247371592,0.0010699809757145206,0.00834393353752704,0.0012397208248336215,0.009265904263257449,0.0,0.0019894010711901436,0.0063016707595578295,0.0,0.014332217885615782,0.02024441618741988,0.0,9.392903838447118e-05,0.0,0.0029030505279698895,0.00042452809827736663,0.0,1.0,0.022002062825827565
2058,0.0,0.01156210232434759,0.004022381310290219,0.024084353942891684,0.026659949339313194,0.0,0.0,0.0,0.0,0.0,0.0032356097915960075,0.0,0.012209782779558073,0.004134396943388631,0.01927944237965232,0.007052593207728991,0.0,0.016207646441942218,0.004219300092636229,0.0014988373117643125,5.0,0.026659949339313194
2059,0.0,0.0048360822197908776,0.003928210860332903,0.003638083984327769,0.0,7.863909219358975e-05,0.049643615412675424,0.003001963305229013,0.0,0.0,0.0,0.0,0.010169427112318321,0.0,0.0,0.0,0.0025178700689305954,0.018792206473585746,0.008150337377548087,0.014600552567973477,7.0,0.049643615412675424
2060,0.0,0.0002448039064024226,0.009002048992808565,1.9841727778586204e-05,0.002653344137852868,0.0,0.0012000200474710464,3.0674088614065025e-05,0.04628782444533185,0.0,0.025931548871602733,1.012188066906385e-06,0.0058975760777762835,0.008175049563073867,0.023276939080219772,0.00404538475020991,0.012322229129237328,0.0005746788821306727,5.175449822508898e-06,0.0,9.0,0.04628782444533185
2061,0.0047450131001552116,0.009693579538795119,0.0029512723269464703,0.0,0.0018487014903913312,0.034751800592717784,0.00033591479104249354,0.008104234975509777,0.007232229030853271,0.004539651973778115,0.0074884816702155835,0.007853957322579083,0.011900043454212894,0.008157216136617337,0.0,0.00044509538390618517,0.002007132290778831,0.0014357607803490045,0.013764502414368508,0.003530404428467683,6.0,0.034751800592717784
2062,0.0,0.006910330195735985,0.003364552856011536,0.0016135925326217506,0.0,0.0,0.03537373553785563,0.0,0.0,0.0,0.0010123213364710308,0.0028289301514202716,0.0,0.010232633489789138,0.0,0.0,0.0031270168053430403,0.012737987040599827,0.0,0.024291070764392853,7.0,0.03537373553785563
