gene_id,Cell type,9JD4 B Memory,9JD4 B Naive,9JD4 Basophils LD,9JD4 CD4+ effector,9JD4 CD8 activated,9JD4 MAIT,9JD4 mDCs,9JD4 Monocytes C,9JD4 Monocytes NC+I,9JD4 Naive T cells,9JD4 Neutrophils LD,9JD4 NK,9JD4 pDCs,9JD4 Plasmablasts,9JD4 VD2-,9JD4 VD2+,925L B Memory,925L B Naive,925L Basophils LD,925L CD4+ effector,925L CD8 activated,925L MAIT,925L mDCs,925L Monocytes C,925L Monocytes NC+I,925L Naive T cells,925L Neutrophils LD,925L NK,925L pDCs,925L Plasmablasts,925L VD2-,925L VD2+,DZQV B Memory,DZQV B Naive,DZQV Basophils LD,DZQV CD4+ effector,DZQV CD8 activated,DZQV MAIT,DZQV mDCs,DZQV Monocytes C,DZQV Monocytes NC+I,DZQV Naive T cells,DZQV Neutrophils LD,DZQV NK,DZQV pDCs,DZQV Plasmablasts,DZQV VD2-,DZQV VD2+,G4YW B Memory,G4YW B Naive,G4YW Basophils LD,G4YW CD4+ effector,G4YW CD8 activated,G4YW MAIT,G4YW mDCs,G4YW Monocytes C,G4YW Monocytes NC+I,G4YW Naive T cells,G4YW Neutrophils LD,G4YW NK,G4YW pDCs,G4YW Plasmablasts,G4YW VD2-,G4YW VD2+
FCGR1B,Neutrophils LD,2.3037651584,0.9889505155,0,0,0,0,4.4232,38.1978,18.086832773,0,101.0741,0,0,0.0583,0,0,0.0106147007,0,1.5221,0.0317713808,0,0,2.2438,40.0608,14.454781579,0.0608297705,91.3362,0.6089,0.758,0,0,0,9.8639072386,10.50663639,0.1517,0.0312280493,0,0,22.9072,84.902,34.458751613,0,247.3276,0.7813,0,0.6464,0,0,0.8991181818,3.707139798,0,0.1350605222,1.5730886975,0,9.1536,54.5379,35.837384211,0,140.9247,0.5939,0,0.4794,0.0938,0
FCGR2A,Neutrophils LD,43.939153394,36.192065636,21.4503,0.5786451381,4.4078301822,0.1034,264.8094,807.5697,647.50793613,0.3206299278,2554.3459,18.5062,4.3941,3.6169,10.2572,5.0674,41.430635803,41.627976759,71.0008,0.4498146845,3.0314695401,0.2204,290.302,690.3573,596.72400789,0.5817238033,3418.8494,20.4684,16.1619,5.1262,4.9365,0.4776,53.448509115,105.78421175,28.2853,0.4593967554,7.0977655389,0.8378,186.0394,770.0403,420.93959677,0.1835940791,2044.6877,26.0259,2.0082,14.6534,14.0487,6.676,38.976021531,44.760040404,35.1831,0.3452709792,3.0072902312,0.2741,233.3435,646.0238,453.35592895,0.1161201102,3196.5002,16.2418,6.2629,7.9277,7.1696,1.6169
FCGR3A,Monocytes NC+I,13.467564706,19.935899656,1.0243,7.8530095383,895.90023575,2.9969,9.8762,95.0569,5737.8325584,9.0409607337,1813.0492,2360.8196,0.2679,3.0527,1308.9583,292.0464,20.764009899,26.68966018,0.0827,6.1315192576,583.3328533,1.6683,128.7203,221.7457,5507.3005211,5.7722292459,2075.9697,2192.2817,4.17,4.3749,937.6054,88.2003,41.235676676,87.387949284,0.5414,14.190245305,728.11253312,18.0599,14.0116,171.4856,6439.7624629,7.6291053714,953.271,2191.8608,0.6785,9.27,2025.3621,742.581,60.701989474,73.049963232,4.035,4.4377827177,672.50079677,6.1726,4.8516,105.4953,4530.0231459,3.0613139135,1762.4613,1670.9033,0.1329,11.2176,884.4739,145.6187
FCGR3B,Neutrophils LD,2.6524180995,6.6371323024,0.083,0.7963160447,125.14666032,0.3109,1.7037,9.9705,981.64344706,1.0121422929,4657.9141,359.7177,0.4999,0.6566,218.547,48.546,7.3236620628,6.1048609723,0.1742,0.2090197773,10.408018774,0.13,7.2981,7.0733,158.41093684,1.2130603934,6368.3359,32.1165,0,1.0304,13.0443,0.5853,10.506499196,13.804160802,0.1718,0.9056752086,22.388039811,0.1517,0.1518,9.4818,368.42976935,0.4955801454,6248.6631,76.3788,0.06,0.3071,73.2731,24.3097,7.0212492823,12.959251313,0.2279,0.3652780374,31.143956701,0.1633,0.6088,6.3857,371.11129035,0.3086183397,4218.7876,102.5346,0.0449,1.0549,56.0616,5.3738
FCN1,Monocytes C,55.650035747,91.150130928,0.6421,0.5868501854,0.534128065,0.6663,1348.6892,5759.4858,2792.1300433,0.6693013863,419.0567,11.3169,1.1627,8.4916,0.3815,0.685,89.37352786,103.18073749,3.1031,0.8621411952,0.6704087962,0.3452,1178.434,4931.855,1578.9267711,0.4459171148,199.8958,9.7463,74.0904,12.0072,0.8747,0.832,410.31521877,621.66666069,1.5194,1.5450003576,0.2930707317,0.2596,1268.2828,3327.666,931.51867258,0.6275512852,354.0579,7.1679,0.3906,54.0814,0.617,0.1471,256.73755263,343.5927301,12.0293,1.231880566,0.5512627655,0.5674,1366.713,4983.208,3232.3708173,1.449736479,572.1569,6.3123,1.0786,33.0553,0.7806,1.1908
FCRL1,B Naive,611.19854887,1842.1017893,5.6358,1.9483579177,1.9062020679,2.1051,1.1638,0.7918,5.112842437,1.5217979718,4.0226,0.8811,1.0069,24.7624,2.9209,0.8964,496.68442359,1422.885561,17.8406,6.9186061173,1.3231079417,0.8688,0.9918,1.0354,5.3250105263,1.5287375082,4.1229,2.7004,1.6136,35.7733,2.9201,0.761,529.18280295,1394.4527629,8.3334,3.103399212,1.4071575138,1.6191,1.2557,1.2701,35.913712903,1.3767430775,8.2219,0.4897,0.461,27.5939,4.327,0.975,607.36809091,1518.7269921,4.4088,2.5418738094,4.0378574799,1.3982,0.973,0.8058,5.6607774854,0.8050761149,2.8376,1.6993,0.5675,32.854,3.0132,0.9146
FFAR2,Neutrophils LD,9.3210529412,12.221623711,20.4975,9.76655964,6.5756798785,8.2436,6.4154,20.6511,31.066518487,9.7634815013,647.8284,13.7056,6.0381,2.3196,4.2134,5.8738,10.270320925,12.589943234,17.1924,9.4153414402,11.902342473,8.3442,29.1076,58.1288,105.43415526,13.505847475,1072.7299,12.3951,5.8365,0.58,7.1507,14.5123,18.822129491,34.9802149,38.1585,10.663798888,6.4914745083,6.9414,43.5829,185.807,298.66048871,9.7258813154,2421.6924,8.0382,2.1636,5.6509,8.5396,8.913,11.097649282,10.899730101,14.1238,9.841083588,7.919580722,6.9834,6.4964,29.2766,33.010727778,6.8306587941,989.1669,2.616,7.223,2.4428,8.4142,9.8548
FLT4,MAIT,0.2206058824,0.2338718213,0.1845,2.7355971235,2.3309432628,33.7187,0.2219,0.174,0.1011008403,1.9388501783,0.4804,0.2782,0.5732,0.0353,0.8858,6.5158,0.1869624185,0.3988261649,0.4539,2.8142916407,1.8622601156,40.9269,0.3573,0.376,0.2869078947,9.977244459,0.3308,0.2908,0.3161,0.0456,2.5208,10.2431,0.1432801609,0.1919998854,0.6938,1.1826699046,0.2551601888,27.9932,0.0449,0.309,0.2607419355,2.3035591739,0.2995,0.1763,0.2873,0.1098,0.5572,0.8134,0.2232330144,0.1972650505,0.1136,2.9755542589,0.8846090845,28.9866,0.178,0.2914,0.2062222222,1.7329842158,0.4642,0.4612,0.5792,0.1238,1.3873,5.0271
FOLR2,Monocytes C,0.8966221719,1.1270494845,0.5824,0,0,0,10.2517,33.1161,13.989435294,0,0.4089,0,1.9702,0,0,0,1.6711120925,0.7852447605,0.4676,0,0,0,10.759,35.1169,5.7962684211,0,0,0,0.5813,0.7592,0,0.2893,3.2744077748,4.3600311748,0,0,0,0.19,9.4565,18.2815,5.7952741935,0,0,0,0,0.3487,0,0,4.0709,3.8883525253,0,0,0,0,7.9474,44.9729,25.457341228,0,0.3281,0,0,0.6845,0,0
FOXP3,CD4+ effector,0.1178932127,0.0383725086,0,20.245520327,0.3039877564,0.8012,0,0,0.0801995798,0.5395646073,0,0,0.1097,0,0,1.0055,0,0.2157030465,0,11.829481767,0.2142888163,0.4625,0.3528,0,0.0480236842,1.7286367869,0,0.112,0,0.0245,0,0,0,0.1480951289,0,18.353305218,0.1320106216,0.4184,0.2513,0.5294,0.3708177419,0.4746573303,0,0,0,0.0817,0.071,0.076,0.0973416268,0.157659798,0,21.500503858,0.1977793771,0.3474,0,0.0465,0.2614023392,0.4811141473,0,0,0.1003,0,0,0.6114
